,# temperatures,INP,ff,K,date
0,-21.01,0.0,0.025,25.3178079843,2016-09-26
1,-21.44,0.0,0.05,51.2932943876,2016-09-26
2,-21.76,0.0,0.075,77.9615414697,2016-09-26
3,-21.78,0.0,0.1,105.360515658,2016-09-26
4,-22.7,0.0,0.125,133.531392625,2016-09-26
5,-22.88,0.0,0.15,162.518929498,2016-09-26
6,-23.59,0.0,0.175,192.371892647,2016-09-26
7,-23.86,0.0,0.2,223.143551314,2016-09-26
8,-23.95,0.0,0.225,254.892249629,2016-09-26
9,-23.99,0.0,0.25,287.682072452,2016-09-26
10,-24.84,0.0,0.275,321.583624127,2016-09-26
11,-25.31,0.0,0.3,356.674943939,2016-09-26
12,-25.79,0.0,0.325,393.04258811,2016-09-26
13,-25.81,0.0,0.35,430.782916092,2016-09-26
14,-25.82,0.0,0.375,470.003629246,2016-09-26
15,-25.84,0.0,0.4,510.825623766,2016-09-26
16,-26.06,0.0,0.425,553.385238185,2016-09-26
17,-26.47,0.0,0.45,597.837000756,2016-09-26
18,-26.54,0.0,0.475,644.357016391,2016-09-26
19,-26.82,0.0,0.5,693.14718056,2016-09-26
20,-26.85,0.0,0.525,744.440474947,2016-09-26
21,-26.86,0.0,0.55,798.507696218,2016-09-26
22,-26.98,0.0,0.575,855.666110058,2016-09-26
23,-27.01,0.0,0.6,916.290731874,2016-09-26
24,-27.08,0.0,0.625,980.829253012,2016-09-26
25,-27.19,0.0,0.65,1049.8221245,2016-09-26
26,-27.22,0.0,0.675,1123.93009665,2016-09-26
27,-27.27,0.0,0.7,1203.97280433,2016-09-26
28,-27.35,0.0,0.725,1290.98418132,2016-09-26
29,-27.41,0.0,0.75,1386.29436112,2016-09-26
30,-27.81,0.0,0.775,1491.65487678,2016-09-26
31,-27.86,0.0,0.8,1609.43791243,2016-09-26
32,-27.9,0.0,0.825,1742.96930506,2016-09-26
33,-27.92,0.0,0.85,1897.11998489,2016-09-26
34,-27.98,0.0,0.875,2079.44154168,2016-09-26
35,-28.28,0.0,0.9,2302.58509299,2016-09-26
36,-28.42,0.0,0.925,2590.26716545,2016-09-26
37,-28.44,0.0,0.95,2995.73227355,2016-09-26
38,-29.09,0.0,0.975,3688.87945411,2016-09-26
39,-29.13,0.0,1.0,inf,2016-09-26
0,-23.49,0.0,0.0222222222222,-0.0,2016-09-30
1,-23.53,0.0,0.0444444444444,22.4728558521,2016-09-30
2,-24.39,0.0,0.0666666666667,45.4623740768,2016-09-30
3,-24.61,0.0,0.0888888888889,68.992871487,2016-09-30
4,-24.83,0.0,0.111111111111,93.090423066,2016-09-30
5,-24.84,0.0,0.133333333333,117.783035656,2016-09-30
6,-24.88,0.0,0.155555555556,143.100843641,2016-09-30
7,-24.92,0.0,0.177777777778,169.076330044,2016-09-30
8,-24.99,0.0,0.2,195.744577126,2016-09-30
9,-25.39,0.0,0.222222222222,223.143551314,2016-09-30
10,-25.56,0.0,0.244444444444,251.314428281,2016-09-30
11,-25.83,0.0,0.266666666667,280.301965154,2016-09-30
12,-25.87,0.0,0.288888888889,310.154928304,2016-09-30
13,-25.87,0.0,0.311111111111,340.926586971,2016-09-30
14,-26.06,0.0,0.333333333333,372.675285285,2016-09-30
15,-26.06,0.0,0.355555555556,405.465108108,2016-09-30
16,-26.18,0.0,0.377777777778,439.366659784,2016-09-30
17,-26.31,0.0,0.4,474.457979595,2016-09-30
18,-26.53,0.0,0.422222222222,510.825623766,2016-09-30
19,-26.55,0.0,0.444444444444,548.565951749,2016-09-30
20,-27.04,0.0,0.466666666667,587.786664902,2016-09-30
21,-27.06,0.0,0.488888888889,628.608659422,2016-09-30
22,-27.07,0.0,0.511111111111,671.168273841,2016-09-30
23,-27.1,0.0,0.533333333333,715.620036412,2016-09-30
24,-27.14,0.0,0.555555555556,762.140052047,2016-09-30
25,-27.3,0.0,0.577777777778,810.930216216,2016-09-30
26,-27.36,0.0,0.6,862.223510604,2016-09-30
27,-27.43,0.0,0.622222222222,916.290731874,2016-09-30
28,-27.56,0.0,0.644444444444,973.449145714,2016-09-30
29,-27.82,0.0,0.666666666667,1034.07376753,2016-09-30
30,-27.89,0.0,0.688888888889,1098.61228867,2016-09-30
31,-27.91,0.0,0.711111111111,1167.60516016,2016-09-30
32,-28.19,0.0,0.733333333333,1241.71313231,2016-09-30
33,-28.33,0.0,0.755555555556,1321.75583998,2016-09-30
34,-28.51,0.0,0.777777777778,1408.76721697,2016-09-30
35,-28.57,0.0,0.8,1504.07739678,2016-09-30
36,-28.74,0.0,0.822222222222,1609.43791243,2016-09-30
37,-28.83,0.0,0.844444444444,1727.22094809,2016-09-30
38,-28.87,0.0,0.866666666667,1860.75234072,2016-09-30
39,-29.1,0.0,0.888888888889,2014.90302054,2016-09-30
40,-30.08,0.0,0.911111111111,2197.22457734,2016-09-30
41,-30.29,0.0,0.933333333333,2420.36812865,2016-09-30
42,-30.56,0.0,0.955555555556,2708.0502011,2016-09-30
43,-30.89,0.0,0.977777777778,3113.51530921,2016-09-30
44,-31.3,0.0,1.0,3806.66248977,2016-09-30
0,-23.23,0.0,0.0227272727273,-0.0,2016-10-04
1,-23.76,0.0,0.0454545454545,22.9895182247,2016-10-04
2,-24.61,0.0,0.0681818181818,46.5200156349,2016-10-04
3,-25.08,0.0,0.0909090909091,70.617567214,2016-10-04
4,-25.38,0.0,0.113636363636,95.3101798043,2016-10-04
5,-25.53,0.0,0.136363636364,120.627987789,2016-10-04
6,-25.59,0.0,0.159090909091,146.603474192,2016-10-04
7,-25.66,0.0,0.181818181818,173.271721274,2016-10-04
8,-25.74,0.0,0.204545454545,200.670695462,2016-10-04
9,-25.76,0.0,0.227272727273,228.841572429,2016-10-04
10,-26.06,0.0,0.25,257.829109302,2016-10-04
11,-26.12,0.0,0.272727272727,287.682072452,2016-10-04
12,-26.15,0.0,0.295454545455,318.453731119,2016-10-04
13,-26.21,0.0,0.318181818182,350.202429433,2016-10-04
14,-26.34,0.0,0.340909090909,382.992252256,2016-10-04
15,-26.42,0.0,0.363636363636,416.893803932,2016-10-04
16,-26.52,0.0,0.386363636364,451.985123743,2016-10-04
17,-26.77,0.0,0.409090909091,488.352767914,2016-10-04
18,-26.86,0.0,0.431818181818,526.093095897,2016-10-04
19,-27.18,0.0,0.454545454545,565.31380905,2016-10-04
20,-27.24,0.0,0.477272727273,606.13580357,2016-10-04
21,-27.32,0.0,0.5,648.695417989,2016-10-04
22,-27.39,0.0,0.522727272727,693.14718056,2016-10-04
23,-27.43,0.0,0.545454545455,739.667196195,2016-10-04
24,-27.47,0.0,0.568181818182,788.457360364,2016-10-04
25,-27.63,0.0,0.590909090909,839.750654752,2016-10-04
26,-27.7,0.0,0.613636363636,893.817876022,2016-10-04
27,-27.73,0.0,0.636363636364,950.976289862,2016-10-04
28,-27.75,0.0,0.659090909091,1011.60091168,2016-10-04
29,-27.78,0.0,0.681818181818,1076.13943282,2016-10-04
30,-27.81,0.0,0.704545454545,1145.1323043,2016-10-04
31,-27.84,0.0,0.727272727273,1219.24027646,2016-10-04
32,-27.84,0.0,0.75,1299.28298413,2016-10-04
33,-27.89,0.0,0.772727272727,1386.29436112,2016-10-04
34,-27.95,0.0,0.795454545455,1481.60454092,2016-10-04
35,-28.15,0.0,0.818181818182,1586.96505658,2016-10-04
36,-28.37,0.0,0.840909090909,1704.74809224,2016-10-04
37,-28.5,0.0,0.863636363636,1838.27948486,2016-10-04
38,-28.51,0.0,0.886363636364,1992.43016469,2016-10-04
39,-28.79,0.0,0.909090909091,2174.75172148,2016-10-04
40,-28.95,0.0,0.931818181818,2397.8952728,2016-10-04
41,-28.99,0.0,0.954545454545,2685.57734525,2016-10-04
42,-29.06,0.0,0.977272727273,3091.04245336,2016-10-04
43,-29.07,0.0,1.0,3784.18963392,2016-10-04
0,-22.31,0.0,0.0232558139535,-0.0,2016-10-11
1,-22.6,0.0,0.046511627907,23.5304974102,2016-10-11
2,-24.47,0.0,0.0697674418605,47.6280489893,2016-10-11
3,-24.64,0.0,0.093023255814,72.3206615796,2016-10-11
4,-24.94,0.0,0.116279069767,97.6384695639,2016-10-11
5,-25.17,0.0,0.139534883721,123.613955967,2016-10-11
6,-25.28,0.0,0.162790697674,150.282203049,2016-10-11
7,-25.58,0.0,0.186046511628,177.681177237,2016-10-11
8,-25.61,0.0,0.209302325581,205.852054204,2016-10-11
9,-25.68,0.0,0.232558139535,234.839591077,2016-10-11
10,-26.03,0.0,0.255813953488,264.692554227,2016-10-11
11,-26.15,0.0,0.279069767442,295.464212894,2016-10-11
12,-26.24,0.0,0.302325581395,327.212911208,2016-10-11
13,-26.34,0.0,0.325581395349,360.002734031,2016-10-11
14,-26.42,0.0,0.348837209302,393.904285707,2016-10-11
15,-26.59,0.0,0.372093023256,428.995605518,2016-10-11
16,-26.6,0.0,0.395348837209,465.363249689,2016-10-11
17,-26.62,0.0,0.418604651163,503.103577672,2016-10-11
18,-26.81,0.0,0.441860465116,542.324290825,2016-10-11
19,-27.14,0.0,0.46511627907,583.146285346,2016-10-11
20,-27.19,0.0,0.488372093023,625.705899764,2016-10-11
21,-27.37,0.0,0.511627906977,670.157662335,2016-10-11
22,-27.42,0.0,0.53488372093,716.67767797,2016-10-11
23,-27.45,0.0,0.558139534884,765.46784214,2016-10-11
24,-27.61,0.0,0.581395348837,816.761136527,2016-10-11
25,-27.77,0.0,0.604651162791,870.828357797,2016-10-11
26,-27.97,0.0,0.627906976744,927.986771637,2016-10-11
27,-28.07,0.0,0.651162790698,988.611393454,2016-10-11
28,-28.28,0.0,0.674418604651,1053.14991459,2016-10-11
29,-28.42,0.0,0.697674418605,1122.14278608,2016-10-11
30,-28.59,0.0,0.720930232558,1196.25075823,2016-10-11
31,-28.71,0.0,0.744186046512,1276.29346591,2016-10-11
32,-28.74,0.0,0.767441860465,1363.3048429,2016-10-11
33,-28.77,0.0,0.790697674419,1458.6150227,2016-10-11
34,-28.77,0.0,0.813953488372,1563.97553836,2016-10-11
35,-28.97,0.0,0.837209302326,1681.75857401,2016-10-11
36,-29.05,0.0,0.860465116279,1815.28996664,2016-10-11
37,-29.1,0.0,0.883720930233,1969.44064647,2016-10-11
38,-30.04,0.0,0.906976744186,2151.76220326,2016-10-11
39,-30.34,0.0,0.93023255814,2374.90575457,2016-10-11
40,-31.0,0.0,0.953488372093,2662.58782703,2016-10-11
41,-31.48,0.0,0.976744186047,3068.05293513,2016-10-11
42,-31.59,0.0,1.0,3761.20011569,2016-10-11
0,-17.42,0.0,0.0263157894737,-0.0,2016-10-13
1,-22.26,0.0,0.0526315789474,26.6682470822,2016-10-13
2,-23.68,0.0,0.0789473684211,54.0672212703,2016-10-13
3,-24.29,0.0,0.105263157895,82.238098237,2016-10-13
4,-25.04,0.0,0.131578947368,111.22563511,2016-10-13
5,-25.13,0.0,0.157894736842,141.07859826,2016-10-13
6,-25.15,0.0,0.184210526316,171.850256927,2016-10-13
7,-25.6,0.0,0.210526315789,203.598955241,2016-10-13
8,-25.93,0.0,0.236842105263,236.388778064,2016-10-13
9,-25.95,0.0,0.263157894737,270.29032974,2016-10-13
10,-26.58,0.0,0.289473684211,305.381649551,2016-10-13
11,-27.02,0.0,0.315789473684,341.749293722,2016-10-13
12,-27.15,0.0,0.342105263158,379.489621705,2016-10-13
13,-27.17,0.0,0.368421052632,418.710334858,2016-10-13
14,-27.21,0.0,0.394736842105,459.532329378,2016-10-13
15,-27.78,0.0,0.421052631579,502.091943797,2016-10-13
16,-28.07,0.0,0.447368421053,546.543706368,2016-10-13
17,-28.3,0.0,0.473684210526,593.063722003,2016-10-13
18,-28.46,0.0,0.5,641.853886172,2016-10-13
19,-29.08,0.0,0.526315789474,693.14718056,2016-10-13
20,-29.22,0.0,0.552631578947,747.21440183,2016-10-13
21,-29.29,0.0,0.578947368421,804.37281567,2016-10-13
22,-29.48,0.0,0.605263157895,864.997437487,2016-10-13
23,-29.68,0.0,0.631578947368,929.535958624,2016-10-13
24,-29.72,0.0,0.657894736842,998.528830111,2016-10-13
25,-29.84,0.0,0.684210526316,1072.63680226,2016-10-13
26,-29.91,0.0,0.710526315789,1152.67950994,2016-10-13
27,-29.97,0.0,0.736842105263,1239.69088693,2016-10-13
28,-30.21,0.0,0.763157894737,1335.00106673,2016-10-13
29,-30.43,0.0,0.789473684211,1440.36158239,2016-10-13
30,-30.45,0.0,0.815789473684,1558.14461805,2016-10-13
31,-30.77,0.0,0.842105263158,1691.67601067,2016-10-13
32,-30.78,0.0,0.868421052632,1845.8266905,2016-10-13
33,-30.85,0.0,0.894736842105,2028.14824729,2016-10-13
34,-31.61,0.0,0.921052631579,2251.29179861,2016-10-13
35,-31.96,0.0,0.947368421053,2538.97387106,2016-10-13
36,-34.96,0.0,0.973684210526,2944.43897917,2016-10-13
37,-35.02,0.0,1.0,3637.58615973,2016-10-13
0,-23.36,0.0,0.025,-0.0,2016-10-13
1,-24.68,0.0,0.05,25.3178079843,2016-10-13
2,-24.81,0.0,0.075,51.2932943876,2016-10-13
3,-25.0,0.0,0.1,77.9615414697,2016-10-13
4,-25.3,0.0,0.125,105.360515658,2016-10-13
5,-25.7,0.0,0.15,133.531392625,2016-10-13
6,-26.1,0.0,0.175,162.518929498,2016-10-13
7,-26.32,0.0,0.2,192.371892647,2016-10-13
8,-26.58,0.0,0.225,223.143551314,2016-10-13
9,-26.8,0.0,0.25,254.892249629,2016-10-13
10,-26.84,0.0,0.275,287.682072452,2016-10-13
11,-26.87,0.0,0.3,321.583624127,2016-10-13
12,-26.98,0.0,0.325,356.674943939,2016-10-13
13,-27.09,0.0,0.35,393.04258811,2016-10-13
14,-27.11,0.0,0.375,430.782916092,2016-10-13
15,-27.32,0.0,0.4,470.003629246,2016-10-13
16,-27.4,0.0,0.425,510.825623766,2016-10-13
17,-27.77,0.0,0.45,553.385238185,2016-10-13
18,-27.82,0.0,0.475,597.837000756,2016-10-13
19,-27.97,0.0,0.5,644.357016391,2016-10-13
20,-28.04,0.0,0.525,693.14718056,2016-10-13
21,-28.17,0.0,0.55,744.440474947,2016-10-13
22,-28.22,0.0,0.575,798.507696218,2016-10-13
23,-28.22,0.0,0.6,855.666110058,2016-10-13
24,-28.43,0.0,0.625,916.290731874,2016-10-13
25,-28.47,0.0,0.65,980.829253012,2016-10-13
26,-28.51,0.0,0.675,1049.8221245,2016-10-13
27,-28.58,0.0,0.7,1123.93009665,2016-10-13
28,-28.58,0.0,0.725,1203.97280433,2016-10-13
29,-28.76,0.0,0.75,1290.98418132,2016-10-13
30,-29.17,0.0,0.775,1386.29436112,2016-10-13
31,-29.74,0.0,0.8,1491.65487678,2016-10-13
32,-29.8,0.0,0.825,1609.43791243,2016-10-13
33,-29.85,0.0,0.85,1742.96930506,2016-10-13
34,-30.23,0.0,0.875,1897.11998489,2016-10-13
35,-30.42,0.0,0.9,2079.44154168,2016-10-13
36,-31.68,0.0,0.925,2302.58509299,2016-10-13
37,-32.55,0.0,0.95,2590.26716545,2016-10-13
38,-33.32,0.0,0.975,2995.73227355,2016-10-13
39,-33.32,0.0,1.0,3688.87945411,2016-10-13
0,-23.77,0.0,0.0208333333333,-0.0,2016-10-13
1,-23.92,0.0,0.0416666666667,21.0534091978,2016-10-13
2,-23.94,0.0,0.0625,42.5596144188,2016-10-13
3,-24.04,0.0,0.0833333333333,64.5385211376,2016-10-13
4,-24.05,0.0,0.104166666667,87.0113769896,2016-10-13
5,-24.46,0.0,0.125,110.000895214,2016-10-13
6,-24.46,0.0,0.145833333333,133.531392625,2016-10-13
7,-24.46,0.0,0.166666666667,157.628944204,2016-10-13
8,-24.46,0.0,0.1875,182.321556794,2016-10-13
9,-24.63,0.0,0.208333333333,207.639364778,2016-10-13
10,-24.63,0.0,0.229166666667,233.614851182,2016-10-13
11,-24.73,0.0,0.25,260.283098264,2016-10-13
12,-24.76,0.0,0.270833333333,287.682072452,2016-10-13
13,-25.06,0.0,0.291666666667,315.852949418,2016-10-13
14,-25.06,0.0,0.3125,344.840486292,2016-10-13
15,-25.31,0.0,0.333333333333,374.693449441,2016-10-13
16,-25.37,0.0,0.354166666667,405.465108108,2016-10-13
17,-25.54,0.0,0.375,437.213806423,2016-10-13
18,-25.69,0.0,0.395833333333,470.003629246,2016-10-13
19,-25.86,0.0,0.416666666667,503.905180921,2016-10-13
20,-25.86,0.0,0.4375,538.996500733,2016-10-13
21,-26.17,0.0,0.458333333333,575.364144904,2016-10-13
22,-26.17,0.0,0.479166666667,613.104472886,2016-10-13
23,-26.33,0.0,0.5,652.32518604,2016-10-13
24,-26.58,0.0,0.520833333333,693.14718056,2016-10-13
25,-26.65,0.0,0.541666666667,735.706794979,2016-10-13
26,-27.06,0.0,0.5625,780.15855755,2016-10-13
27,-27.36,0.0,0.583333333333,826.678573184,2016-10-13
28,-27.4,0.0,0.604166666667,875.468737354,2016-10-13
29,-27.81,0.0,0.625,926.762031741,2016-10-13
30,-27.85,0.0,0.645833333333,980.829253012,2016-10-13
31,-27.92,0.0,0.666666666667,1037.98766685,2016-10-13
32,-28.14,0.0,0.6875,1098.61228867,2016-10-13
33,-28.51,0.0,0.708333333333,1163.15080981,2016-10-13
34,-28.63,0.0,0.729166666667,1232.14368129,2016-10-13
35,-28.73,0.0,0.75,1306.25165345,2016-10-13
36,-29.01,0.0,0.770833333333,1386.29436112,2016-10-13
37,-29.01,0.0,0.791666666667,1473.30573811,2016-10-13
38,-29.21,0.0,0.8125,1568.61591791,2016-10-13
39,-29.5,0.0,0.833333333333,1673.97643357,2016-10-13
40,-29.79,0.0,0.854166666667,1791.75946923,2016-10-13
41,-30.17,0.0,0.875,1925.29086185,2016-10-13
42,-30.17,0.0,0.895833333333,2079.44154168,2016-10-13
43,-31.13,0.0,0.916666666667,2261.76309847,2016-10-13
44,-31.9,0.0,0.9375,2484.90664979,2016-10-13
45,-32.33,0.0,0.958333333333,2772.58872224,2016-10-13
46,-32.4,0.0,0.979166666667,3178.05383035,2016-10-13
47,-32.68,0.0,1.0,3871.20101091,2016-10-13
0,-21.76,0.0,0.037037037037,-0.0,2016-10-18
1,-21.78,0.0,0.0740740740741,37.7403279828,2016-10-18
2,-22.79,0.0,0.111111111111,76.9610411361,2016-10-18
3,-23.69,0.0,0.148148148148,117.783035656,2016-10-18
4,-24.07,0.0,0.185185185185,160.342650075,2016-10-18
5,-24.14,0.0,0.222222222222,204.794412646,2016-10-18
6,-24.19,0.0,0.259259259259,251.314428281,2016-10-18
7,-24.3,0.0,0.296296296296,300.10459245,2016-10-18
8,-24.38,0.0,0.333333333333,351.397886838,2016-10-18
9,-24.43,0.0,0.37037037037,405.465108108,2016-10-18
10,-24.5,0.0,0.407407407407,462.623521948,2016-10-18
11,-24.57,0.0,0.444444444444,523.248143765,2016-10-18
12,-25.05,0.0,0.481481481481,587.786664902,2016-10-18
